Me and Earl and the Dying Girl,7.7
Memento,7.9
Merry Kissmas,7.6
Metal: A Headbanger's Journey,8
Michael Jackson's Thriller,8.1
Million Dollar Baby,7.6
Miss Representation,7.8
Mommy,8
Monty Python and the Holy Grail,7.6
Moonrise Kingdom,7.6
Mr. Nobody,7.8
My Dinner with AndrÃ©,7.6
My Name Is Khan,7.6
Nightcrawler,7.6
No Country for Old Men,7.6
No Half Measures: Creating the Final Season of Breaking Bad,8
"Now You See Him Now You Don't",7.6
Once Upon a Time in America,7.9
One Direction: This Is Us,8
One Direction: Up All Night - The Live Tour,8.3
One Direction: Where We Are - The Concert,8.3
One Flew Over the Cuckoo's Nest,8
Opeth: In Live Concert At The Royal Albert Hall,8.6
original_title,vote_average
Over the Garden Wall,7.8
Paperman,8
Paper Moon,7.7
Paradise Lost: The Child Murders at Robin Hood Hills,7.9
Paris is Burning,7.6
Partly Cloudy,7.9
Pearl Jam: Twenty,7.9
Pink Floyd: Pulse,8.7
Planet Earth,7.6
Presto,8
Pride,7.7
Pride and Prejudice,7.8
Pride & Prejudice,7.6
Prison Break: The Final Break,7.6
Prisoners,7.8
Psycho,8
Pulp Fiction,8.1
Puppy,7.8
Queen - Rock Montreal,8.5
Racing Extinction,7.8
Remember,7.7
Requiem for a Dream,7.7
Requiem for the American Dream,7.8
Reservoir Dogs,7.9
Return of the Jedi,7.8
Road,7.7
Room,8
Rush,7.7
Rush: Beyond the Lighted Stage,8.4
Samsara,7.9
Saving Private Ryan,7.7
Scarface,7.8
Schindler's List,8.1
Scooby-Doo! Stage Fright,7.9
Scott Pilgrim vs. the Animation,7.7
Se7en,7.9
Searching for Sugar Man,7.9
Senna,8
Shelter,7.6
Shoah,8.3
Short Term 12,7.8
Show Me a Hero,7.7
Shutter Island,7.6
Sintel,7.6
Song of the Sea,8
Spotlight,7.8
Star Wars,7.9
Star Wars: TIE Fighter,7.6
Still Crazy,7.6
Stop Making Sense,8.4
Straight Outta Compton,7.7
Supermensch: The Legend of Shep Gordon,7.6
Swedish House Mafia - Leave the World Behind,7.6
Tales from the Crypt,8
Taxi Driver,7.8
Taylor Swift: The 1989 World Tour - Live,7.6
The Apartment,7.9
The Art of Flight,8.5
The Best Man,7.8
The Big Lebowski,7.6
The Blue Umbrella,7.8
The Boy in the Striped Pyjamas,7.6
The Breakfast Club,7.6
The Century of the Self,8.3
The Cove,7.9
The Crash Reel,7.9
The Dark Knight,8.1
The Departed,7.7
The Devil and Daniel Johnston,8.3
The Dream Team,8
The Elephant Man,7.6
The Empire Strikes Back,8
The Fall,7.7
The Fault in Our Stars,7.8
The Fear of 13,8.2
The Godfather,8.3
The Godfather: Part II,8.1
The Grand Budapest Hotel,7.9
The Green Mile,8
The Help,7.6
The Hobbit: The Desolation of Smaug,7.6
The Hunting Ground,7.8
The Imitation Game,8
The Internet's Own Boy: The Story of Aaron Swartz,7.8
The Jinx: The Life and Deaths of Robert Durst,8.4
The King of Kong,7.9
The Last Waltz,8
The Lion King,7.7
The Look of Silence,7.8
The Lord of the Rings: The Fellowship of the Ring,7.8
The Lord of the Rings: The Return of the King,7.9
The Lord of the Rings: The Two Towers,7.8
The Maker,8.1
The Making of The Walking Dead,8.4
The Man from Earth,7.6
The Martian,7.6
The Mask You Live In,8.9
The Matrix,7.8
The Normal Heart,7.8
The Pacific,7.8
The Perks of Being a Wallflower,7.6
The Phantom of the Opera at the Royal Albert Hall,7.6
The Pianist,7.9
The Poseidon Adventure,7.7
The Power of Nightmares,7.6
The Power of One,7.8
The Prestige,7.8
There Will Be Blood,7.8
The Shawshank Redemption,8.4
The Shining,7.9
The Silence of the Lambs,7.9
The Sting,7.7
The Stoning of Soraya M.,8
The Story of Film: An Odyssey,9.2
The Theory of Everything,7.8
The Thin Blue Line,8
The True Cost,7.6
The Truman Show,7.6
The Usual Suspects,8
The Wolf of Wall Street,7.9
The Wood,7.6
Tick Tock Tale,8.3
To Kill a Mockingbird,7.7
Top Gear: The Perfect Road Trip,7.6
Trainspotting,7.6
Trophy Kids,7.8
Tropico,8.4
TT3D: Closer to the Edge,7.9
Tupac: Resurrection,8
U2: Vertigo 2005 - Live from Chicago,7.6
Undefeated,7.8
Up,7.6
Valley Uprising,7.9
Vals Im Bashir,7.7
V for Vendetta,7.6
Vincent,7.9
Virunga,7.9
WALLÂ·E,7.6
Wanderers,7.8
Warrior,7.6
Waste Land,7.8
"What Happened Miss Simone?",7.7
When You're Strange,7.6
Whiplash,8.2
Winnie the Pooh and the Honey Tree,7.9
Winter on Fire: Ukraine's Fight for Freedom,8.2
Woody Allen: A Documentary,7.6
World of Tomorrow,8.2
X-Men: Days of Future Past,7.6
Yes or No: à¸­à¸¢à¸²à¸à¸£à¸±à¸ à¸à¹‡à¸£à¸±à¸à¹€à¸¥à¸¢,7.8
