     46 Woody Allen
     34 Clint Eastwood
     31 Martin Scorsese
     30 Steven Spielberg
     23 Steven Soderbergh
     23 Ridley Scott
     22 Ron Howard
     21 Joel Schumacher
     20 Tim Burton
     20 Brian De Palma
     19 Wes Craven
     19 Robert Rodriguez
     19 John Carpenter
     19 Francis Ford Coppola
     19 David Cronenberg
     19 Barry Levinson
     18 Walter Hill
     18 Rob Reiner
     18 Mike Nichols
     18 John Landis
     17 Tyler Perry
     17 Stephen Frears
     17 Spike Lee
     17 Sidney Lumet
     17 Roman Polanski
     17 Robert Zemeckis
     17 Renny Harlin
     17 Peter Hyams
     17 Oliver Stone
     17 Norman Jewison
     17 Joel Coen
     16 Uwe Boll
     16 Tony Scott
     16 Stephen Herek
     16 Richard Linklater
     16 Richard Donner
     16 Gus Van Sant
     16 David Lynch
     16 Blake Edwards
     15 Robert Altman
     15 Neil Jordan
     15 Michael Apted
     15 Ivan Reitman
     14 Tobe Hooper
     14 Sydney Pollack
     14 Sam Raimi
     14 Russell Mulcahy
     14 Roger Donaldson
     14 Quentin Tarantino
     14 Peter Jackson
     14 John Badham
     14 Joe Dante
     14 Garry Marshall
     14 Chris Columbus
     13 William Friedkin
     13 Wes Anderson
     13 Terry Gilliam
     13 Steve Miner
     13 Phillip Noyce
     13 Peter Farrelly
     13 Michael Winterbottom
     13 Michael Ritchie
     13 Lasse Hallstr̦m
     13 John Huston
     13 George A. Romero
     13 Dennis Dugan
     12 Peter Weir
     12 Gerald Thomas
     12 Frank Oz
     12 Danny Boyle
     12 Brett Ratner
     12 Alan Parker
     11 Werner Herzog
     11 Stuart Gordon
     11 Stuart Gillard
     11 Shawn Levy
     11 Sean McNamara
     11 Sam Peckinpah
     11 Roland Emmerich
     11 Roger Corman
     11 Mike Newell
     11 Michael Mann
     11 Michael Bay
     11 Mel Brooks
     11 Kevin Smith
     11 Ken Loach
     11 John Stockwell
     11 John Lasseter
     11 John G. Avildsen
     11 John Frankenheimer
     11 Jim Jarmusch
     11 Jay Roach
     11 James Cameron
     11 Don Bluth
     11 David Gordon Green
     11 Curtis Hanson
     11 Bobby Farrelly
     10 Steve Rash
     10 Simon Wincer
     10 Roger Spottiswoode
