Avatar	2544505847
Star Wars: The Force Awakens	1868178225
Titanic	1645034188
Jurassic World	1363528810
Furious 7	1316249360
The Avengers	1299557910
Harry Potter and the Deathly Hallows: Part 2	1202817822
Avengers: Age of Ultron	1125035767
Frozen	1124219009
The Net	1084279658
