brand,image_url,item_id,others,price,price_shipping,rating,rating_num,title
yeston,https://c1.neweggimages.com/ProductImageCompressAll300/AZUES2302220GA2UU8C.jpg,1FT-007N-00081?Item=9SIAZUEJM11138&cm_sp=SP-_-967331-_-Pers_SubCategorySponsoredProduct-_-4-_-9SIAZUEJM11138-_-48-_--_-16,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '1 x DisplayPort', 'HDMI': '3 x HDMI', 'DirectX': 'DirectX 12', 'Model': 'RTX 4080'}",1249.0,0.0,5.0,3,Yeston GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card HDMI 2.1*1 + DP1.4a*3 video cards Desktop computer PC video gaming graphics card
ASRock,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-088-03.jpg,N82E16814930088,"{'MaxResolution': '', 'DisplayPort': '', 'HDMI': '', 'DirectX': '', 'Model': ''}",649.99,0.0,4.8,27,ASRock Phantom Gaming Radeon RX 6950 XT 16GB GDDR6 PCI Express 4.0 Video Card RX6950XT PG 16GO
MSI,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-632-03.jpg,N82E16814137632,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RTX 3060 Ventus 2X 12G OC'}",359.99,0.0,4.8,330,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-481-11.jpg,N82E16814932481,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '2 x DisplayPort 1.4a', 'HDMI': '2 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-R66EAGLE-8GD'}",199.99,0.0,4.6,97,"GIGABYTE Radeon RX 6600 EAGLE 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 128-bit GDDR6, GV-R66EAGLE-8GD Video Card"
ASUS,https://c1.neweggimages.com/ProductImageCompressAll300/14-126-593-V01.jpg,N82E16814126593,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '2 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'ROG-STRIX-RTX4090-O24G-GAMING'}",1999.99,0.0,4.8,56,"ASUS ROG Strix GeForce RTX 4090 OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4090-O24G-GAMING"
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-611-V01.jpg,N82E16814932611,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort', 'HDMI': '1 x HDMI', 'DirectX': 'DirectX 12', 'Model': 'GV-N4070WF3OC-12GD'}",599.99,0.0,4.7,15,GIGABYTE WINDFORCE GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070WF3OC-12GD
brand,image_url,item_id,others,price,price_shipping,rating,rating_num,title
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-580-15.jpg,N82E16814932580,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-N407TGAMING OC-12GD'}",849.99,0.0,4.9,53,"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card"
brand,image_url,item_id,others,price,price_shipping,rating,rating_num,title
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-580-15.jpg,N82E16814932580,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-N407TGAMING OC-12GD'}",849.99,0.0,4.9,53,"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card"
